Company,Website,Location,Vertical,Size,Best Offer,Contact Name,Contact Role,Phone,Email,Why Now
Celtic Solar Electrical Services,https://celticsolar.com.au,"Noosaville, QLD",Residential & commercial solar + battery,6-12 staff,AutoDial,Cam Walker,Owner / Director,07 5455 5444,info@celticsolar.com.au,Cam and Chelsey took over the Noosaville business with nearly two decades of solar experience — AutoDial pre-qualifies the Noosa Heads + Tewantin battery-rebate flood.
Static Electrics,https://www.staticelectrics.com.au,"Lawnton, QLD",Residential solar + electrical + AC,20-40 staff,AutoDial,Paul,Owner / Founder,07 3263 6160,info@staticelectrics.com.au,Family-run crew covering Sunshine Coast + Brisbane + Moreton Bay with suburb-by-suburb SEO — AutoDial qualifies postcode and books the matching crew automatically.
LMS Electrical,https://lmselectrical.com.au,"Slacks Creek, QLD",Solar + battery,10-20 staff,AutoDial,Luke Spolander,Owner,1300 456 776,contact@lmselectrical.com.au,2026 Sunwiz Top Battery Retailer in Logan corridor — every Powerwall 3 enquiry that hits 1300 voicemail is a $15k+ install walking; AutoDial picks up and books the site visit instantly.
Green Spark Electrical & Solar,https://www.greensparkelectrical.com.au,"Logan, QLD",Solar + battery,5-10 staff,AutoDial,,Owner,0414 352 982,,Family-owned crew covering Logan / Logan Reserve / Gold Coast on one mobile — AutoDial means the boss stops dropping tools every time a battery-rebate call comes in.
Top House Solar and Electrical,https://tophousesolar.com.au,"Loganholme, QLD",Solar + battery,2-10 staff,LeadCatch,,Director,1300 867 468,info@tophousesolar.com.au,Sub-10-person Loganholme crew on a 1300 line — $99/mo LeadCatch auto-replies every missed quote so they stop losing rebate-driven leads while up on a roof.
Solar Miner,https://solarminer.com.au,"Beenleigh, QLD",Solar + battery,10-20 staff,AutoDial,,Director,,info@solarminer.com.au,426+ Google reviews at 4.6★ in Beenleigh — that review velocity = a flood of inbound calls the front desk can't possibly answer all of; AutoDial qualifies and books straight into the calendar.
Volteam Electric,https://volteam.com.au,"Northgate, QLD",Solar + battery + EV,15-30 staff,AutoDial,,Director,1300 865 832,info@volteam.com.au,Dedicated 'Solar Battery Installers Ipswich' landing page and a 1300 number — every Ipswich rebate enquiry that rings out is a competitor win.
SolarEze,https://solareze.com.au,"Springfield Lakes, QLD",Solar + battery,10-20 staff,AutoDial,,Director,0410 658 790,,Ranks #1 for Springfield Lakes solar with 15+ yrs in Ipswich — single mobile means after-5pm leads vanish; AutoDial answers 24/7 and books site visits.
DRC Electrical & Air Conditioning,https://www.drcelectrical.com.au,"Springfield Lakes, QLD",Solar + battery,5-10 staff,LeadCatch,Daniel Cooksey,Owner,,dan@drcelectrical.com.au,Small owner-operated Springfield Lakes crew — Dan can't answer the phone on a roof in Brookwater; LeadCatch fires a $99/mo SMS auto-reply so federal-rebate leads don't ghost.
CMH Electrical Industries,https://www.cmhelectricalindustries.com.au,"Ipswich, QLD",Solar + battery,5-15 staff,AutoDial,Marenda Hodgkinson,Co-Owner,07 3054 1196,,Dedicated Lockyer Valley + Ipswich service pages plus a battery-specific landing page — rural-fringe rebate calls land on one office line.
Ipswich Solar and Electrical,https://ipswichsolarelectrical.com.au,"Ipswich, QLD",Solar + battery,5-15 staff,AutoDial,Darren Rosolak,Owner,,,Darren grew the business off pure local Ipswich word-of-mouth — every missed call from a Goodna or Springfield rebate enquiry is a broken referral chain.
Australian Solar Industries,https://www.australiansolar.com.au,"Laidley, QLD","Residential, rural off-grid & RAPS",5-15 staff,AutoDial,Brian Cooke,Managing Director,07 5465 2218,,Family-run Lockyer Valley off-grid + RAPS specialist since 1991 — rural rebate calls come in from across the Darling Downs and the office is unmanned during install days.
Proven Energy,https://provenenergy.com.au,"North Toowoomba, QLD",Solar + battery,20-30 staff,AutoDial,Peter Sutrin,Director / Owner,07 4642 0017,sales@provenenergy.com.au,20-30 staff across Toowoomba + Darling Downs with a sales@ inbox drowning post-rebate — AutoDial intercepts every quote call and writes the booking straight into Peter's calendar.
Excel Power,https://excelpower.com.au,"Toowoomba, QLD",Solar + battery (SunPower),15-30 staff,AutoDial,,Director,07 4638 7366,office@excelpower.com.au,Runs a dedicated 'Federal Battery Rebate' landing page — floods one office line during business hours only; AutoDial picks up after-hours and weekend rebate calls.
RAW Electrical QLD,https://www.rawelectricalqld.com.au,"Cawdor, QLD",Solar + battery,2-5 staff,LeadCatch,Christopher Warby,Owner,0427 360 411,,Owner-operator on a single mobile covering the Toowoomba region — Chris physically can't answer while on a roof in Highfields; $99/mo SMS keeps leads warm.
MRE Electrical,https://mregroup.com.au,"Glenvale, QLD",Solar + battery,5-15 staff,AutoDial,Brian,Owner,0419 701 668,,Trading since 1994 out of Glenvale with two mobile numbers as the only inbound — Highfields + Toowoomba rebate calls slip through cracks.
Electrical Sensations,https://www.electricalsensations.com.au,"Toowoomba, QLD",Solar + battery (on/off-grid),5-10 staff,AutoDial,Nigel,Owner,,,SAA-accredited designer with 16 yrs in battery storage and award-winning installs — that credibility = a phone that won't stop ringing post-rebate.
Goal Solar,https://goalsolar.com.au,"Beaudesert, QLD",Residential & commercial solar + battery,15-30 staff,AutoDial,Paulo Grolli,Owner,1300 554 929,sales@goalsolar.com.au,Beaudesert HQ with satellite offices interstate running off one 1300 — Scenic Rim + interstate rebate calls collide on the same queue.
Rhys Brown Electrical,https://www.rhysbrownelectrical.com.au,"Beaudesert, QLD",Solar + battery,5-10 staff,LeadCatch,Rhys Brown,Owner,07 5541 4363,,Mon–Fri 7-5 office hours only across Beaudesert + Scenic Rim — every weekend enquiry from a Boonah hobby-farm owner rings out.
Kenros Electrics,https://kenroselectrics.com.au,"Boonah, QLD",Solar + battery,3-8 staff,LeadCatch,Ross Colley,Owner,07 5463 1022,,35+ yrs of rural Scenic Rim trust on a single Boonah office line — Ross is in switchboards not on the phone.
Evolution Solar Experts,https://www.evolutionsolarexperts.com.au,"Beaudesert, QLD",Solar + battery + solar hot water,10-20 staff,AutoDial,,Director,1300 864 676,,Two inbound numbers covering Beaudesert + Boonah + Ipswich from one Brisbane St office — AutoDial qualifies hot-water vs PV vs battery rebate enquiries.
Scenic Rim Electrical,https://scenicrimelectrical.com.au,"Chinghee Creek, QLD",Solar + battery rural,2-5 staff,LeadCatch,,Owner,,,"Owner-operated rural Scenic Rim sparky — single tradesman on a mobile in remote reception, $99/mo SMS auto-reply means dropped rural calls still convert."
Goodhew Electrical & Solar,https://goodhewsolar.com.au,"Wynnum, QLD",Residential & commercial solar + off-grid,15-25 staff,AutoDial,Gavin Goodhew,Owner / Founder,07 3396 7866,,Bayside-based since 2007 with both Wynnum residential and off-grid commercial lines — battery rebate season means two distinct call types hitting one number AutoDial can route in seconds.
Moran Power Solutions,https://moranpowersolutions.com.au,"Cleveland, QLD",Solar + battery + electrical,5-10 staff,AutoDial,Tim Moran,Director,07 3820 3999,,Redlands owner-operator splitting time between site work and quotes — every missed Powerwall 3 enquiry from Capalaba/Victoria Point is a $15k job walking.
Solair Electrical,https://solairelectrical.com.au,"Thornlands, QLD",Solar + battery + maintenance,3-6 staff,LeadCatch,,Owner,0405 685 441,,Single mobile for a Redlands family electrician fielding maintenance + new-system calls — $99/mo LeadCatch SMS catches every missed quote.
Lesside Electrical & Solar,https://lesside.com.au,"Coorparoo, QLD",Residential & commercial solar + data,10-20 staff,AutoDial,,Director,07 3394 4133,,"Multi-service Bayside/Redlands operator running solar, AC, data and AV through one switchboard — AutoDial qualifies callers as solar vs general electrical before they ring a tech."
AHLEC Solar & Electrical,https://ahlecsolar.com.au,"Caboolture, QLD",On-grid + off-grid solar + battery,10-20 staff,AutoDial,,Director,1800 660 874,sales@ahlec.com.au,Dedicated Bribie Island and Caboolture landing pages chasing rebate-driven Moreton Bay leads — a 1800 number with no after-hours pickup is haemorrhaging weekend calls.
Precision Electrical QLD,https://precisionelec.net.au,"Caboolture, QLD",Solar + electrical + AC,5-10 staff,AutoDial,,Owner,07 5498 6485,admin@precisionelec.net.au,"Local Caboolture trio fielding solar design, repair and electrical on one office line — AutoDial triages solar quote vs service call so the sparkies never get pulled off the roof."
Enhance Electrical & Solar,https://enhanceelectricalandsolar.com.au,"Burpengary, QLD",Solar + battery + AC + electrical,5-10 staff,AutoDial,,Owner,0432 137 050,,Service-area pages from Redcliffe to North Lakes driving rebate enquiries to a mobile — AutoDial answers in 2 seconds and books straight into the calendar.
Sunrays Power,https://www.sunrayspower.com.au,"North Lakes, QLD",Residential solar + battery,5-15 staff,AutoDial,,Sales Manager,1800 720 719,info@sunrayspower.com.au,"Running 1800 line across North Lakes, Mango Hill and Capalaba — battery-rebate ad spend is wasted every time the line rings out."
North Lakes Electrical,https://northlakeselectricians.com.au,"North Lakes, QLD",Residential solar + electrical,2-4 staff,LeadCatch,,Owner,0404 378 702,,Single owner-operator mobile fielding both solar quote and emergency electrical calls — $99/mo SMS makes sure no Murrumba Downs lead vanishes during a site day.
Trusted Solar Air & Electrical,https://www.trustedsolarairelectrical.com.au,"Clontarf, QLD",Solar + battery + AC,5-15 staff,AutoDial,,Director,07 3284 8455,,Three service verticals (solar/AC/electrical) on one Redcliffe office line — AutoDial routes solar quotes straight to the booking calendar instead of an electrician's voicemail.
Moreton Bay Solar Air Electrical,https://www.moretonbaysolarairelectrical.com.au,"Clontarf, QLD",Residential solar + battery + AC,5-10 staff,AutoDial,Brendon Lowe,Co-owner,07 3883 2119,,Two-founder Redcliffe shop (Glen Smith + Brendon Lowe) juggling AC peak season and solar rebate calls — AutoDial answers while the directors are on the tools.
Mern Industries,https://mernindustries.com.au,"Wamuran, QLD",Solar + electrical + AC,2-4 staff,LeadCatch,,Owner,0428 484 588,,Rural Moreton Bay owner-op on a single mobile — $99/mo SMS auto-reply makes sure every Caboolture/Bribie rebate enquiry gets a touchpoint.
Excel Solar,https://www.excelsolarau.com.au,"Capalaba, QLD",Residential solar + battery,3-6 staff,LeadCatch,,Owner,,,Family-run Capalaba retailer competing head-on with Solahart Redlands — $99/mo LeadCatch grabs every Powerwall 3 enquiry rolling in after-hours.
Ryde Energy,https://www.rydeenergy.com.au,"Brendale, QLD",Residential & commercial solar + battery,10-20 staff,AutoDial,,Director,07 3191 7021,,Pine Rivers-based with dedicated Moreton Bay and SEQ landing pages — federal battery rebate is multiplying inbound quote calls a single receptionist can't triage.
REA Solar,https://www.reasolar.com.au,"Redland Bay, QLD",Residential & commercial solar + battery,15-30 staff,AutoDial,,Director,1300 360 047,,Redland Bay HQ pushing a 1300 number across all of SEQ — battery-rebate season means AutoDial is the only way to catch every inbound.
Springers Solar,https://www.springers.com.au,"Lawnton, QLD",Solar + battery + EV,25-40 staff,AutoDial,Brian Springer,Owner,07 3889 8898,,Tesla Powerwall 3 Premium Certified Installer servicing all of north Brisbane — battery rebate enquiries flooding the 1300 line and after-hours quote calls going to voicemail.
Techservices Australia,https://techservicesau.com.au,"Bracken Ridge, QLD",Residential/Commercial solar + battery,5-15 staff,AutoDial,,Owner/Director,,,Their Bracken Ridge solar page pitches both res and commercial systems — sole-region installer fielding the federal battery rebate inbound spike.
Sunlogics Solar & Electrical,https://sunlogics.com.au,"Brisbane Northside, QLD",Residential/Commercial solar + battery + EV,10-25 staff,AutoDial,Akshay,Owner/Director,07 3999 8527,,186 Google reviews mention battery installs running flat-out post federal rebate and their quote form asks for roof type/system size/finance — AutoDial replicates that exact qualification on every missed call.
All Brisbane Electrical,https://www.allbrisbaneelectrical.com.au,"Albany Creek, QLD",Residential/Commercial solar + battery,5-15 staff,AutoDial,Shaun,Owner,07 3343 4066,shaun@allbrisbaneelectrical.com.au,Office hours strictly 7am-4pm Mon-Fri on a single landline — every evening/weekend Powerwall 3 enquiry from northside homeowners goes to voicemail.
Energy Solution Centre,https://energysolutioncentre.com.au,"Nerang, QLD",Residential & commercial solar + battery,15-25 staff,AutoDial,,Director,1300 217 079,info@energysolutioncentre.com.au,CEC-approved retailer running TV/radio + showroom drive-by funnel into a single 1300 — every missed daytime call from the federal battery rebate wave is a $15k Powerwall 3 quote gone.
Supreme Solar Power,https://supremesolarpower.com.au,"Bundall, QLD",Residential & commercial solar + battery,20-40 staff,AutoDial,,Sales Manager,1300 227 990,,Two offices (Bundall HQ + Brisbane CBD) sharing one 1300 — receptionist is the bottleneck; AutoDial qualifies postcode/system size in 30 seconds.
Nexa Solar,https://nexasolar.com.au,"Arundel, QLD",Solar + battery + EV charger,20-35 staff,AutoDial,,Director,1300 138 591,admin@nexasolar.com.au,Closed Sundays and only open till 2pm Saturday — every weekend rebate enquiry rolls to voicemail; AutoDial books their Monday-morning calendar full.
Omega Solar and Batteries,https://omegasolarandbatteries.com.au,"Mudgeeraba, QLD",Solar + battery (Tesla/Sungrow),10-20 staff,AutoDial,,Owner,1300 663 422,info@omegasolar.com.au,Powerwall 3 certified installer on the Gold Coast hinterland — federal battery rebate flooding their 1300 line with quote calls they can't answer between site visits.
4Shore Solar Electrical,https://www.4shoresolarelectrical.com.au,"Burleigh Heads, QLD",Residential & commercial solar + off-grid,5-10 staff,AutoDial,,Owner,,,Family-owned since 2010 doing 5-100kW systems — owner on the tools all day and the broken contact-us page (404) tells us inbound leads are leaking everywhere.
NG Solar,https://ngsolar.com.au,"Oxenford, QLD",Residential solar + battery,5-12 staff,AutoDial,,Owner,0432 877 648,admin@ngsolar.com.au,"74,000 panels installed and counting, but the website lists two mobile numbers as the only contact — that's a recipe for missed Powerwall 3 enquiries during install days."
TMS Solar & Electrical,https://tmssolarandelectrical.com.au,"Gold Coast, QLD",Residential & commercial solar,10-25 staff,AutoDial,,Sales Manager,1300 867 123,solaradmin@tmsmeter.com.au,"Servicing Coomera, Helensvale, Currumbin from one 1300 line — federal battery rebate enquiries hit hardest 5-9pm when their office is closed."
Trusted Energy Solutions,https://www.trustedenergysolutions.com.au,"Upper Coomera, QLD",Residential solar + battery,2-4 staff,LeadCatch,,Owner,0431 094 573,,Single mobile advertised '24/7' on a Localsearch site — owner can't physically answer at 7pm when battery-rebate leads are calling.
Gold Coast Solar Systems,https://www.goldcoastsolarsystems.com.au,"Miami, QLD",Residential & commercial solar,8-15 staff,AutoDial,,Director,(07) 5612 5755,,Suburb-by-suburb SEO across every GC postcode driving real inbound calls — but only a landline and a contact form means after-hours rebate enquiries die.
Australian Solar Installations,https://australiansolarinstallations.com.au,"Gold Coast, QLD",Residential & commercial solar,8-15 staff,AutoDial,,Owner,1300 796 076,,Covers Gold Coast + Brisbane + Tweed from one 1300 line with a broken contact-us page — the federal battery rebate is sending volume they're not staffed to answer.
Universe Solar,https://www.universesolar.com.au,"Ashmore, QLD",Residential & commercial solar,5-10 staff,AutoDial,,Director,1300 363 178,,4.8★ Google with 74 reviews from Ashmore Plaza shopfront — Mon-Fri 9-5 hours means every Saturday Powerwall 3 enquiry rolls to voicemail.
Gold Coast Solar Power Solutions,https://gold-coast-solar-power-solutions.com.au,"Worongary, QLD",Residential & commercial solar + EV,10-20 staff,AutoDial,Mark Donald,Director,,,Strong SolarQuotes + Solar Choice rating count — high inbound from comparison sites means every dropped call is a $20k+ system going to the next quote on the list.
Gold Coast Energy,https://www.goldcoastenergy.com.au,"Mudgeeraba, QLD",Residential & commercial solar + battery + audits,15-30 staff,AutoDial,,Sales Manager,(07) 5525 2111,,Doing commercial energy audits + residential — sales reps on-site all day means the (07) line rings out; AutoDial qualifies commercial vs resi.
Solareze GC,https://solareze.com.au,"Elanora, QLD",Residential solar + battery,3-6 staff,LeadCatch,,Owner,0410 658 790,,15+ years experience but only a mobile on the contact page and a 5.0 Google rating he can't afford to dent — $99/mo SMS the second he can't pick up.
One Power Solar & Electrical,https://www.onepower.com.au,"Burleigh Heads, QLD",Residential & commercial solar + battery,20-40 staff,AutoDial,,Sales Manager,1300 568 589,admin@onepower.com.au,GC HQ + multi-state footprint funnelling everything into one 1300 — Powerwall 3 demand has spiked their inbound and you can't scale a receptionist.
Hardy Electrical & Solar,https://hardysolar.com.au,"Tweed Heads, NSW",Residential & commercial solar + battery,10-20 staff,AutoDial,,Director,1300 748 948,gosolar@hardysolar.com.au,Servicing 13+ postcodes Tweed-to-Byron-to-Gold-Coast from a single 1300 — federal battery rebate enquiries from three council areas overwhelm their one phone line.
Oceanside Services,https://oceansideservices.com.au,"Gold Coast, QLD",Solar + battery (multi-trade),15-30 staff,AutoDial,,Sales Manager,,,Multi-trade (plumbing/electrical/solar) means every solar call competes with hot-water emergencies on the same line — AutoDial triages.
Coastwide Solar,https://www.coastwidesolar.com.au,"Mudgeeraba, QLD",Residential & commercial solar + battery,8-15 staff,AutoDial,,Director,1300 776 446,admin@coastwidesolar.com.au,Featured on SolarQuotes — comparison-site leads are time-sensitive and the homeowner buys from whoever answers first; AutoDial picks up in 2 rings 24/7.
Hinterland and Coast Electrical (GC),https://hinterlandandcoast.com.au,"Gold Coast Hinterland, QLD",Residential solar + battery + electrical,5-12 staff,AutoDial,,Owner,,,"4.5★ across 13 SolarQuotes reviews and pitching across GC/Brisbane/Northern NSW — sparkies are on the tools, not the phone; AutoDial books while they're up a ladder."
High Energy,https://high-energy.com.au/,"West End, QLD",Residential & commercial solar + battery + EV + off-grid,2-5 staff,LeadCatch,Matt,Owner-Operator,1300 025 975,service@high-energy.com.au,"Owner Matt explicitly states 'I'm the person who designs your system, does the install, and answers the phone' — at 200+ installs and a one-man front line he's the textbook missed-call victim during the rebate flood."
Paramount Energy,https://paramountenergy.com.au/,"Newstead, QLD",Residential & commercial solar + battery + EV,8-20 staff,AutoDial,,Director,07 3180 8835,info@paramountenergy.com.au,Newstead HQ is a 'by appointment only' Enphase/Tesla showroom pushing premium battery installs — every Powerwall 3 quote call hitting voicemail outside showroom hours is lost revenue.
iDeal Solar,https://idealsolar.com.au/,"Brisbane CBD, QLD",Residential & commercial solar + battery,15-30 staff,AutoDial,,Director,1300 038 705,info@idealsolar.com.au,"Eagle Street CBD office runs a 'Bill Guarantee' offer and 1,200+ installs at 4.9★, but phone hours close 3pm Fri and all weekend except Sat 10-2 — AutoDial captures the rebate surge in those 100+ off-hours per week."
Connect Energy,https://connectenergy.com.au/,"Darra, QLD","Residential, commercial & industrial solar + battery + EV",20-40 staff,AutoDial,,Director,07 3376 5023,enquiries@connectenergy.com.au,"About page boasts 70,000+ panels installed and a 2024 service-team expansion to handle battery + EV demand — phones clearly hammered Mon–Fri 8:30-5 only."
KTM Solutions,https://www.ktmsolutions.com.au/,"Darra, QLD",Residential & commercial solar + battery + electrical + AC,10-25 staff,AutoDial,Ken McCoombes,Owner/Director,07 3813 0067,service@ktmsolutions.com.au,"Family-owned since 2001, rebranded in 2021 to push solar + battery alongside electrical with 100+ suburb pages — one office number juggling solar quotes, AC bookings and 24/7 emergency calls."
Exclusive Electrical & Air,https://www.exclusiveqld.com.au/,"Fortitude Valley, QLD",Residential & commercial solar + electrical + AC,5-15 staff,AutoDial,,Owner/Director,0468 813 833,,Built dedicated suburb landing pages for solar installation in Fortitude Valley and the inner suburbs and runs a 4-channel booking funnel — AutoDial routes the solar leads and qualifies.
Indooroopilly Electrical,https://electricianindooroopilly.com.au/,"Indooroopilly, QLD",Residential solar + electrical,1-3 staff,LeadCatch,,Owner-Operator,07 3522 3399,,Tiny 5★/33-review owner-run sparky advertising solar installs in Indooroopilly with a single landline and a 'we will call back' form — every missed call during a roof job is a lost rebate enquiry.
Renewable Solar,https://renewablesolar.com.au/,"Indooroopilly, QLD",Residential & commercial solar + battery + EV,5-12 staff,AutoDial,,Director,,,"Homepage built entirely around the new federal 'Cheap Home Battery Program' with 'limited spots, get in early' urgency — that promo is generating exactly the inbound flood AutoDial was built to qualify."
Megatec Electrics,https://megatecelectrics.com.au/,"Brisbane, QLD",Commercial & industrial solar + electrical + AC,8-20 staff,AutoDial,,Director,0423 286 460,,"Markets dedicated 'Commercial Solar Installation Brisbane' service — but their only published contact is a single mobile, so AutoDial picks up the commercial battery-rebate enquiries that mobile inevitably misses on site."
Hybrid Solar Solutions,https://www.hybridsolarsolutions.com.au,"Underwood, QLD",Residential & commercial solar + battery,10-30 staff,AutoDial,,Owner/Director,1300 36 44 49,info@hybridsolarsolutions.com.au,"Homepage hero is 'Federal Govt Cheaper Home Battery Rebate — Claim up to $18,500' with a 1300 number ringing off the hook 9-5 only — AutoDial handles overflow and after-hours."
Ravin Services,https://ravinservices.com.au,"Mitchelton, QLD",Residential/Commercial solar + battery,1-3 staff,LeadCatch,,Owner/Director,,,Tiny CEC-accredited Energex-approved outfit promising 'response within 1 business day' on the contact form — at 1-3 staff every missed call after-hours is lost rebate revenue.
Surge It Solar & Electrical,http://surgeitelectrical.com.au,"Stafford, QLD",Residential solar + battery,2-5 staff,LeadCatch,Nick,Owner/Director,07 3448 6369,admin@surgeitelectrical.com.au,Self-described 'family owned local business' running Fronius/REC battery-ready specials — a 2-person crew on the roof all day can't answer Powerwall 3 calls.
Brisbane Solar Electrical,https://www.brisbanesolarelectrical.com.au,"Greenslopes, QLD",Residential/Commercial solar + battery,2-5 staff,LeadCatch,,Owner/Director,0430 376 527,,"Single mobile number, no office line, homepage pushes battery storage 'day and night' — owner-operator on tools is missing rebate-driven inbound."
Solar Thoughts,https://solarthoughts.com.au,"Milton, QLD",Residential solar + battery + EV,5-15 staff,AutoDial,,Owner/Director,1300 846 844,info@solarthoughts.com.au,Service menu now lists Battery Storage and EV Charger alongside solar — five service lines on one 1300 line means abandoned calls during the rebate rush.
Watts Up Solar and Electrical,https://wattsupsolarandelectrical.com.au,"Forest Lake, QLD",Residential solar + battery,3-8 staff,LeadCatch,,Owner/Director,0480 507 386,,"Mobile-only customer support and a banner pushing 'Cheaper Home Batteries up to $16,750 available NOW' — small crew physically can't answer rebate enquiries during installs."
Omega Solar + Batteries (Mt Gravatt),https://omegasolarandbatteries.com.au,"Mt Gravatt, QLD",Residential/Commercial solar + battery,15-40 staff,AutoDial,,Owner/Director,,,"Family-owned CEC Retailer Code signatory with 6,000+ installs and a heavy battery-rebate landing page — reception is drowning in Powerwall 3 quote calls."
