Email,Subject,Opening Line,Body,Salutation
admin@phyxnewcastle.com.au,PHYX Newcastle — after-hours leads,"Hi Louisa,","People deciding between physio, pilates and massage on your site still have to fill a form to ask — an AI chat would answer 'which is right for me?' and book them then and there.

I'm Amy — I build AI chat assistants for Aussie health & allied health clinics businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One clinic I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real PHYX Newcastle-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@jc-accountant.com.au,JC Accountant — after-hours leads,"Hi there,","Tax-season enquiries hit after 5pm — a chatbot would book consults while you're with clients.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real JC Accountant-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
hello@inspireca.com,Inspire Accountants — after-hours leads,"Hi Ben,","Your 'Book an initial chat' button is really just a form — a real chatbot could qualify and book those leads 24/7.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Inspire Accountants-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
famlaw@tcflawyers.com.au,Taussig Cherrie Fildes Lawyers — after-hours leads,"Hi there,","Family-law enquiries are emotional and urgent — a chatbot triages them the moment they land, before they bounce to a competitor.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Taussig Cherrie Fildes Lawyers-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@partnersinfamilylaw.com.au,Partners in Family Law — after-hours leads,"Hi there,","Family-law leads who reach you after hours are often gone by morning — a chatbot keeps them engaged and books the consult.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Partners in Family Law-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
deb@absolutebookkeepingperth.com.au,Absolute Bookkeeping Perth — after-hours leads,"Hi Deb,","When you're on a client's books you can't answer the phone — a $150/mo chatbot catches every enquiry that would otherwise hang up.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Absolute Bookkeeping Perth-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
contact@adelaidemigrationagent.com.au,Adelaide Migration Agent — after-hours leads,"Hi there,","Visa applicants browsing from overseas at 3am can't wait for a callback — a chatbot qualifies and books them instantly.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Adelaide Migration Agent-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@rightfinancial.com.au,Right Financial Mortgage Brokers — after-hours leads,"Hi there,","Homebuyers do their mortgage research at 10pm — a chatbot pre-qualifies them (deposit, income, loan size) and books the broker call.

I'm Amy — I build AI chat assistants for Aussie professional services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One firm I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Right Financial Mortgage Brokers-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@hauss.com.au,Hauss Realty — after-hours leads,"Hi there,","Buyers browsing Hauss listings at 9pm have nowhere to ask a quick question — a chatbot would catch them before they bounce to Ray White.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Hauss Realty-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@abodepropertybrisbane.com.au,ABODE Property Brisbane — after-hours leads,"Hi Tracey,","As an owner-operated boutique, every missed after-hours enquiry is a listing or rental you personally lose — a chatbot books them while you sleep.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real ABODE Property Brisbane-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
hello@junctionea.com.au,Junction Estate Agents — after-hours leads,"Hi Jeremy,","Hello@ is great, but it doesn't answer 'is this property still available?' at 10pm — a chatbot does, instantly.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Junction Estate Agents-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
emily@wallaceadvocates.com.au,Wallace Advocates — after-hours leads,"Hi Emily,","Buyer enquiries come in 24/7 but you can't answer your mobile mid-inspection — an AI chatbot qualifies and books discovery calls for you.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Wallace Advocates-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@keepingitrealty.com.au,Keeping It Realty — after-hours leads,"Hi Christine,","Owner-operated agencies live or die by responsiveness — a chatbot makes you the first to reply, every time, even on weekends.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Keeping It Realty-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
hello@modpropertygroup.com.au,Mod Property Group — after-hours leads,"Hi there,","Tenants and landlords ask the same 5 questions on repeat — a chatbot answers them 24/7 so you can focus on growth.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Mod Property Group-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@boxpropertymanagement.com.au,Box Property Management — after-hours leads,"Hi there,","Landlords comparing PM fees at 11pm need an instant quote — a chatbot delivers it before they fill in three other forms.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Box Property Management-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
hello@oceanbuyersagency.com,Ocean Buyers Agency — after-hours leads,"Hi there,","Interstate buyers researching the Sunshine Coast at all hours need to engage now — a chatbot books their strategy call before they cool off.

I'm Amy — I build AI chat assistants for Aussie real estate & property management businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One agency I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Ocean Buyers Agency-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@empireelectricalcontractors.com.au,Empire Electrical Contractors — after-hours leads,"Hi there,","You're promising 24/7 emergency service but every after-hours enquiry has to wait for a callback — a chatbot would book those jobs while you sleep.

I'm Amy — I build AI chat assistants for Aussie trades & home services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One trades business I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Empire Electrical Contractors-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@semken.com.au,Semken Landscaping — after-hours leads,"Hi there,","Your Garden Advisory enquiries all funnel through one form — an AI chat could pre-qualify design briefs before they hit your inbox.

I'm Amy — I build AI chat assistants for Aussie trades & home services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One trades business I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Semken Landscaping-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
bookings@stewartspestcontrol.com.au,Stewarts Pest Control — after-hours leads,"Hi there,","You've already invested in 'Book Online' — adding an AI chat on top would turn the 60% of visitors who bounce into booked jobs.

I'm Amy — I build AI chat assistants for Aussie trades & home services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One trades business I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Stewarts Pest Control-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@adelaideroofingco.com.au,Adelaide Roofing Co — after-hours leads,"Hi there,","Roof jobs are $10k+ — every missed contact-form enquiry is a five-figure loss a chatbot would have caught.

I'm Amy — I build AI chat assistants for Aussie trades & home services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One trades business I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Adelaide Roofing Co-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
peter@sydmech.com.au,Sydmech Air Conditioning — after-hours leads,"Hi Peter,","Heatwave week = phones ringing off the hook — a chatbot triages install vs repair enquiries so your team only calls back the hot ones.

I'm Amy — I build AI chat assistants for Aussie trades & home services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One trades business I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Sydmech Air Conditioning-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
hello@boostcommercialcleaning.com.au,Boost Commercial Cleaning — after-hours leads,"Hi there,","You're earning the clicks with 4.9 stars but every quote request still goes to email — a chatbot turns that into a booked walk-through same day.

I'm Amy — I build AI chat assistants for Aussie trades & home services businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One trades business I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Boost Commercial Cleaning-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@melbournepilatesmethodstudio.com.au,quick one about Melbourne Pilates Method Studio's website,"Hi there,","New Pilates clients shop late at night — a 24/7 AI chat would book the intro session before they bounce to a competitor.

I'm Amy — I build AI chat assistants for Aussie beauty & wellness businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One studio I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Melbourne Pilates Method Studio-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@kabukihair.com.au,quick one about Kabuki Hair's website,"Hi there,","A chat widget could answer 'do you do colour correction?' and push the booking before they click away to Fresha.

I'm Amy — I build AI chat assistants for Aussie beauty & wellness businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One studio I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Kabuki Hair-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
hello@theopenmindspace.com.au,quick one about The Open Mind Space's website,"Hi there,","New yogis ask the same 10 questions — let an AI chat answer them instantly and sell the $40 intro pass without you lifting a finger.

I'm Amy — I build AI chat assistants for Aussie beauty & wellness businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One studio I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real The Open Mind Space-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@aftrainingstudios.com.au,quick one about Ashley Faithful Training Studios's website,"Hi Ashley,","PT enquiries spike after 9pm — an AI chat books the intro session while you're with a client (or asleep).

I'm Amy — I build AI chat assistants for Aussie beauty & wellness businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One studio I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Ashley Faithful Training Studios-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
hello@stationstreetfit.com.au,quick one about Station Street Fit's website,"Hi there,","Every 'book a free trial' form that goes unanswered for 2 hours is a lost member — an AI chat books them on the spot.

I'm Amy — I build AI chat assistants for Aussie beauty & wellness businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One studio I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Station Street Fit-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@infusehealth.au,quick one about Infuse Health's website,"Hi there,","First-time movers need hand-holding — an AI chat that explains your classes books trials your contact form misses.

I'm Amy — I build AI chat assistants for Aussie beauty & wellness businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One studio I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Infuse Health-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
info@yovankaloriasalon.com.au,quick one about Yovanka Loria Salon's website,"Hi Yovanka,","Extension enquiries are high-intent and high-ticket — an AI chat qualifies hair type and books the consult before they shop around.

I'm Amy — I build AI chat assistants for Aussie beauty & wellness businesses. They sit on your website and answer enquiries, qualify the lead, and book the job straight into your calendar — 24/7, in your tone of voice.

One studio I work with was sending every enquiry to a contact form and waiting till morning to reply. Now the bot books them on the spot — they stopped losing after-hours work to whoever called back first.

Setup's done-for-you and it runs from about $99/month. No lock-in.

Worth a quick look? Reply ""demo"" and I'll send you a 60-second clip of one answering a real Yovanka Loria Salon-style enquiry.","Cheers,
Amy
Done By Amy · donebyamy.com

Not for you? Just reply ""stop"" and I won't email again."
